"Gene.ID","mycOFF.mean","mycON.mean"
"ANK3",5.25602655555556,5.2039406
"ANKAR",4.43116288888889,1.5076455
"ANKDD1A",25.6642296666667,4.4843402
"ANKFY1",56.7329464444444,26.3224368
"ANKH",5.83641077777778,6.9246403
"ANKHD1",34.8768323333333,33.44437
"ANKHD1-EIF4EBP3",30.9528252222222,17.7634424
"ANKIB1",40.9112503333333,17.9468615
"ANKLE1",9.25951011111111,45.1556472
"ANKLE2",68.9943657777778,59.1592354
"ANKMY1",4.34545133333333,8.6046271
"ANKRA2",19.6531592222222,7.3901637
"ANKRD10",54.7904115555556,47.7149448
"ANKRD11",41.9509815555556,32.9718759
"ANKRD12",16.6994355555556,7.4812842
"ANKRD13A",55.2725527777778,21.3984029
"ANKRD13B",0.722226111111111,23.7271267
"ANKRD13C",16.0889097777778,10.481218
"ANKRD13D",42.6700071111111,19.2991655
"ANKRD16",3.52868422222222,8.3693311
"ANKRD17",37.1660743333333,46.3800323
"ANKRD18B",0.777336555555556,3.3774377
"ANKRD19P",1.776405,3.726571
"ANKRD20A9P",0.011936,0.0195997
"ANKRD23",4.82144633333333,2.8119781
"ANKRD24",0.788813555555556,0.6168917
"ANKRD26",8.55023833333333,6.9515419
"ANKRD27",22.033149,51.2327511
"ANKRD28",17.8470544444444,26.3949132
"ANKRD32",8.70427777777778,12.1335899
"ANKRD33B",19.4230782222222,10.646895
"ANKRD34A",3.64260555555556,11.0394987
"ANKRD36",5.256677,3.9818192
"ANKRD36B",6.91778177777778,3.3287608
"ANKRD36BP1",29.7480297777778,13.1496037
"ANKRD36BP2",1.96579111111111,7.0119358
"ANKRD36C",3.14829455555556,3.1605484
"ANKRD37",9.03646911111111,7.279105
"ANKRD39",13.8095568888889,16.1340587
"ANKRD40",22.895299,28.9542189
"ANKRD42",7.83898177777778,4.5341717
"ANKRD44",63.2692977777778,13.3242291
"ANKRD44-IT1",0.446624333333333,0.1188607
"ANKRD46",9.01720522222222,17.8176361
"ANKRD49",41.437867,25.9172379
"ANKRD50",1.96804122222222,1.969469
"ANKRD52",15.9406935555556,16.1927444
"ANKRD54",11.7593597777778,19.9571122
"ANKRD55",1.24222311111111,0.268656
"ANKRD6",8.19674577777778,4.6594325
"ANKRD61",1.84799155555556,1.3569833
"ANKRD65",2.09071222222222,1.3643581
"ANKRD9",1.38851988888889,3.7699937
"ANKS1A",14.3220017777778,14.1816156
"ANKS3",5.765739,11.5472227
"ANKS6",7.54260822222222,33.8620335
"ANKZF1",52.9963758888889,44.2456836
"ANLN",6.93715122222222,12.1729842
"ANO10",0.534736333333333,0.6071275
"ANO6",33.439642,13.9913489
"ANO8",3.60872644444444,4.8011283
"ANO9",65.6486176666667,25.0626286
"ANP32A",152.682903777778,260.9316529
"ANP32A-IT1",2.62573166666667,1.0434784
"ANP32AP1",0.582841888888889,1.0046491
"ANP32B",197.077506111111,605.9945861
"ANP32C",1.31923244444444,2.1406164
"ANP32E",52.1149338888889,103.6280045
"ANTXR1",3.066928,0.1968863
"ANTXR2",30.7732752222222,6.2389327
"ANXA1",148.161578555556,23.6325644
"ANXA11",113.734051111111,71.2058532
"ANXA2",543.623857111111,251.4446411
"ANXA2P1",10.567885,5.5729667
"ANXA2P2",19.0444307777778,8.5053912
"ANXA4",486.030690555556,48.3119407
"ANXA5",206.349424666667,92.9488091
"ANXA6",793.248304555556,263.2572876
"ANXA7",99.8567607777778,69.6245783
"AOC2",0.575529777777778,1.0951659
"AOC3",0.367284888888889,0.6395446
"AP000330.8",1.45280311111111,0.6455741
"AP001258.4",4.227771,0.7285186
"AP1AR",7.15031366666667,23.3598123
"AP1B1",200.925838888889,89.1425515
"AP1G1",58.6582263333333,34.4380492
"AP1G2",104.950290222222,31.3716127
"AP1M1",58.0621291111111,53.8972198
"AP1S1",33.334911,48.5544803
"AP1S2",66.8017638888889,35.860577
"AP1S3",4.26418433333333,7.4237416
"AP2A1",64.1871817777778,45.8468089
"AP2A2",29.6515334444444,25.6051247
"AP2B1",75.8999455555556,62.2517766
"AP2M1",135.195327777778,197.069255
"AP2S1",68.0506878888889,95.56148
"AP3B1",80.5961321111111,54.468464
"AP3D1",58.3031016666667,58.1614052
